cve_id,cvss_score,cvss_severity,cwe_ids,analysis_timestamp,analysis_duration,thread_name,models_used,has_patch_analysis,patch_count,files_modified,lines_added,lines_removed,repositories,analysis_summary
CVE-2022-3294,6.6,MEDIUM,CWE-20,2025-05-29T03:04:57.844560,74.7,Analyzer_0,deepseek-r1-250120,True,1,2,174,5,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - 容器→控制器状态操纵    次要边界突破：控制平面组件间 - API Server ↔ Controller SSRF    架构层次影响：数据面计算层→控制面API层→控制面存储层    技术路径：篡改Node.status.addresses→绕过代理白名单→API Server转发请求至控制平面网络    关键节点：Node对象状态字段写入权限、kube-apiserver代理验证逻辑缺陷    权限扩展：Node写权限→控制平面网络层访问权限→etcd数据读取权限    影响范围：跨越数据面节点管理和控制面核心组件通信    防护薄弱点：Node状态字段写入权限控制不足，代理路径校验缺乏网络层隔离检查    检测难点：合法API操作掩盖恶意地址注入，控制平面内部流量缺乏审计  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层代理功能被滥用，存储层etcd直接暴露访问风险    - 数据面影响：节点资源配置成为攻击控制平面的跳板    - 跨平面传播：通过数据面资源篡改建立控制...
CVE-2021-25737,2.7,LOW,"CWE-184, CWE-601",2025-05-29T03:05:00.775605,60.65,Analyzer_3,deepseek-r1-250120,True,1,4,65,18,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：控制面→数据面 - 控制面→网络/存储层配置污染    次要边界突破：[多租户间隔离 - 命名空间→跨租户资源访问]    架构层次影响：控制面控制层→数据面网络层    技术路径：创建恶意EndpointSlice→绕过IP验证→污染kube-proxy iptables规则→劫持服务流量    关键节点：EndpointSlice准入控制缺失IP段校验    权限扩展：discovery.k8s.io API组写权限→数据面网络配置权    影响范围：服务发现机制、跨Pod通信、节点本地网络    防护薄弱点：EndpointSlice与Endpoint校验逻辑不一致，网络策略未覆盖保留IP段    检测难点：合法服务定义与恶意流量重定向难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：控制层EndpointSlice控制器校验逻辑缺陷    - 数据面影响：网络层流量路由规则被恶意篡改    - 跨平面传播：控制面配置错误直接污染数据面网络平面    - 节点拓扑影响：Worker节点本地网络暴...
CVE-2020-8554,6.3,MEDIUM,CWE-283,2025-05-29T03:05:37.870169,48.33,Analyzer_2,deepseek-r1-250120,True,2,15,286,23,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：控制面→数据面 - 控制面→网络/存储层配置污染    次要边界突破：集群外部→集群内部 - 外部→API层访问路径创建    架构层次影响：控制面API层→数据面网络层→外部网络    技术路径：通过API Server修改Service网络配置→触发kube-proxy规则更新→劫持指定IP流量    关键节点：API层对externalIPs字段验证缺失，status字段修改权限控制不严    权限扩展：Service管理权限→集群网络流量控制权→跨集群边界数据窃取    影响范围：跨越控制面配置层和数据面网络层，影响跨命名空间及外部系统通信    防护薄弱点：API层字段验证与RBAC权限粒度的双重缺失    检测难点：合法Service创建与恶意流量劫持的隐蔽性差异  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层资源配置验证失效，控制层网络协调逻辑被污染    - 数据面影响：网络层流量路由规则被篡改，计算层Pod通信遭劫持    - 跨平面传播：控制面配置错误直接导致数据面网络策略失效 ...
CVE-2020-8555,6.3,MEDIUM,"CWE-918, CWE-918",2025-05-29T03:05:44.140313,46.29,Analyzer_0,deepseek-r1-250120,True,1,4,91,35,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - 容器→控制器状态操纵    次要边界突破：控制平面组件间 - API Server ↔ Controller SSRF    架构层次影响：数据面计算层→控制面控制层→存储层    技术路径：创建恶意Service注解→Controller Manager处理→发起内部SSRF请求    关键节点：控制器对metadata.annotations字段未做目标地址白名单验证    权限扩展：Service资源操作权限→控制面网络层访问权限    影响范围：跨越数据面资源对象到控制面内部网络通信    防护薄弱点：控制器输入验证缺失，RBAC权限颗粒度不足    检测难点：合法注解字段滥用，内部网络请求难以追踪  2. 信任边界影响评估    架构影响分析：    - 控制面影响：控制层SSRF漏洞，存储层元数据泄露风险    - 数据面影响：计算层资源对象成为攻击入口    - 跨平面传播：数据面资源操作触发控制面网络探测    - 节点拓扑影响：Master节点本地服务暴露风险     权限边界突破：    -...
CVE-2021-25735,6.5,MEDIUM,CWE-372,2025-05-29T03:05:50.665834,75.46,Analyzer_1,deepseek-r1-250120,True,7,9,63,93,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面 → 控制面 - 容器 → 控制器状态操纵    次要边界突破：控制平面组件间 - 扩展组件 → 核心组件权限滥用    架构层次影响：数据面计算层 → 控制面API层 → 控制层策略协调    技术路径：通过nodes/update权限修改Node标签 → 准入控制旧状态缺失 → 绕过Webhook策略 → 影响调度器决策    关键节点：kube-apiserver旧状态字段传递缺陷，Validating Webhook状态验证不完整    权限扩展：节点属性修改权 → 调度策略绕过 → 工作负载部署控制权    影响范围：跨数据面节点隔离策略、控制面准入机制、Pod调度拓扑约束    防护薄弱点：准入控制新旧状态对比机制缺陷，Node更新权限过度分配    检测难点：合法节点更新与策略绕过的行为特征重叠，跨平面攻击链路隐蔽  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层准入控制失效，控制层调度策略被污染    - 数据面影响：计算层节点标签完整性破坏，网络层拓扑约束失效    - 跨平面...
CVE-2019-11254,6.5,MEDIUM,CWE-1050,2025-05-29T03:06:20.803700,80.03,Analyzer_3,deepseek-r1-250120,True,1,36,81,127,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - 控制面资源滥用（新类别）    次要边界突破：外部→内部 - 外部→API层访问路径创建    架构层次影响：数据面客户端→控制面API层→控制层调度能力    技术路径：构造YAML锚点炸弹→API Server解析器O(n²)消耗→CPU资源耗尽→集群API不可用    关键节点：YAML解析器的递归处理未做资源限制    权限扩展：合法API权限→控制平面服务拒绝能力    影响范围：跨越数据面请求端到控制面核心组件，导致全集群管理功能瘫痪    防护薄弱点：API层缺乏请求复杂度审查机制    检测难点：合法YAML语法与攻击载荷难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层服务中断，控制层协调功能瘫痪，存储层写入操作阻塞    - 数据面影响：工作负载调度停止，现有Pod保持运行但无法变更    - 跨平面传播：数据面请求直接影响控制面核心服务可用性    - 节点拓扑影响：Master节点API Server不可用，Worker节点工作负载不受直接影响   ...
CVE-2018-1002101,5.9,MEDIUM,N/A,2025-05-29T03:06:21.152752,30.48,Analyzer_1,deepseek-r1-250120,True,1,1,12,6,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：数据面→控制面 - Pod→API Server权限提升（需kubelet高权限）    架构层次影响：数据面计算层→Worker节点操作系统层    技术路径：构造恶意mountPath→kubelet命令拼接→Windows命令注入→宿主机命令执行    关键节点：kubelet处理volumeMounts时的参数转义逻辑缺失    权限扩展：Pod创建权限→节点系统命令执行权限（取决于kubelet运行权限）    影响范围：Windows节点计算层完整性，可能影响控制平面（若节点权限足够）    防护薄弱点：kubelet输入验证机制不完善，Windows路径处理特殊字符未过滤    检测难点：合法volumeMounts配置与恶意注入的区分困难，跨OS命令特征差异  2. 信任边界影响评估    架构影响分析：    - 控制面影响：间接风险（若节点权限被用于攻击API Server）    - 数据面影响：计算层隔离突破（Pod到宿主机逃逸）...
CVE-2019-11255,4.8,MEDIUM,"CWE-20, CWE-20",2025-05-29T03:06:25.674700,47.8,Analyzer_2,deepseek-r1-250120,True,5,12,650,95,"kubernetes-csi/external-provisioner, kubernetes-csi/external-resizer, kubernetes-csi/external-snapshotter",  ``` 1. 信任边界类别分析    主要边界突破：数据面 → 控制面 - 容器→控制器状态操纵    次要边界突破：控制面 → 数据面 - 控制面→存储层配置污染    架构层次影响：数据面计算层→控制面控制层→存储层    技术路径：伪造PVC参数→绕过CSI驱动鉴权→直接操作底层存储系统    关键节点：CSI sidecar对用户输入参数（如snapshotHandle）的关联性验证缺失    权限扩展：PVC操作权限→底层存储系统管理权限→跨PersistentVolume数据访问    影响范围：CSI控制平面组件、动态卷存储系统、关联的PersistentVolume数据    防护薄弱点：CSI驱动与控制平面其他组件的鉴权联动不足    检测难点：存储操作参数合法性验证困难，与正常业务操作难以区分  2. 信任边界影响评估    架构影响分析：    - 控制面影响：控制层CSI控制器状态协调逻辑被污染    - 数据面影响：存储层卷数据完整性被破坏    - 跨平面传播：数据面存储请求污染控制面协调状态    - 节点拓扑影响：Worker节点CSI插件可能成为攻...
CVE-2019-1002100,6.5,MEDIUM,CWE-770,2025-05-29T03:06:29.414003,45.27,Analyzer_0,deepseek-r1-250120,True,1,3,80,0,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - Pod→API Server权限滥用    次要边界突破：控制面组件间 - API Server资源管理失效    架构层次影响：数据面计算层→控制面API层    技术路径：授权用户构造O(n²)复杂度的JSON-Patch→API Server CPU资源耗尽→控制平面服务中断    关键节点：API Server的JSON-Patch处理模块未实施操作复杂度校验    权限扩展：合法PATCH权限→控制平面可用性破坏权限    影响范围：API层服务中断→控制层协调功能失效→存储层数据更新受阻    防护薄弱点：API层缺乏请求复杂度校验机制，RBAC未区分高危操作类型    检测难点：合法操作与恶意攻击行为模式高度相似，资源消耗特征易与正常负载混淆  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层处理能力瘫痪，控制层watch机制中断，存储层写入延迟增加    - 数据面影响：间接导致工作负载编排操作（如扩缩容）无法执行    - 跨平面传播：数据面用户操作直接冲击控制面核...
CVE-2017-1002101,8.8,HIGH,CWE-59,2025-05-29T03:06:57.184376,36.38,Analyzer_3,deepseek-r1-250120,True,1,1,1,1,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：数据面→控制面 - 工作负载→etcd数据访问（潜在）    架构层次影响：数据面计算层→宿主机OS层→控制面存储层    技术路径：构造subPath路径穿越→绕过kubelet路径校验→挂载宿主机敏感文件    关键节点：kubelet处理volumeMounts.subPath时的路径净化逻辑缺失    权限扩展：容器用户权限→宿主机root权限（通过修改/etc/shadow等）    影响范围：单个Worker节点文件系统→集群全局配置（若攻击Master节点组件）    防护薄弱点：kubelet路径校验机制缺失，Pod创建准入控制不验证subPath    检测难点：合法volumeMounts使用与攻击行为难以区分，跨层次攻击链路隐蔽  2. 信任边界影响评估    架构影响分析：    - 控制面影响：间接威胁存储层（若挂载etcd数据目录），API层鉴权机制旁路    - 数据面影响：计算层隔离失效，存储层卷隔离突破，网络层未直接涉及...
CVE-2017-1000056,9.8,CRITICAL,CWE-862,2025-05-29T03:07:03.176520,42.02,Analyzer_1,deepseek-r1-250120,True,1,2,6,8,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - Pod→API Server权限提升    次要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    架构层次影响：数据面计算层→控制面API层→节点隔离层    技术路径：创建Pod请求→绕过PSP授权检查→绑定高权限PSP→部署特权容器→宿主机逃逸    关键节点：PSP准入控制器的RBAC绑定验证缺失    权限扩展：普通Pod创建权限→宿主机root权限→集群管理权限    影响范围：跨数据面和控制面，影响Worker节点隔离和集群策略执行    防护薄弱点：PSP与RBAC策略解耦，准入控制验证链不完整    检测难点：合法PSP使用与恶意绕过的行为特征高度相似  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层PSP授权失效，控制层准入策略执行被绕过    - 数据面影响：计算层容器隔离突破，节点级资源控制权丢失    - 跨平面传播：数据面Pod创建操作反向污染控制面安全策略    - 节点拓扑影响：Worker节点沦为攻击跳板，可能威胁Master...
CVE-2016-1905,7.7,HIGH,CWE-284,2025-05-29T03:07:07.521560,38.1,Analyzer_0,deepseek-r1-250120,True,1,2,114,15,kubernetes/kubernetes,  ``` 1. 信任边界类别分析    主要边界突破：数据面→控制面 - Pod→API Server权限提升    次要边界突破：多租户间隔离 - 命名空间→跨租户资源访问    架构层次影响：数据面计算层→控制面API层→存储层    技术路径：构造恶意PATCH请求→绕过准入控制校验→修改跨命名空间资源配置→触发控制器错误协调    关键节点：API Server admission control校验链执行顺序缺陷    权限扩展：普通用户权限→跨命名空间写权限→集群级资源配置权限    影响范围：跨越RBAC策略边界，影响控制面API层和数据面工作负载    防护薄弱点：准入控制校验顺序依赖，资源版本校验机制不完善    检测难点：合法PATCH操作与恶意请求在审计日志中特征相似  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层鉴权完整性失效，控制层协调逻辑被污染    - 数据面影响：计算层工作负载配置被篡改，网络层服务端点劫持    - 跨平面传播：控制面配置错误导致数据面工作负载异常    - 节点拓扑影响：Master节点API Ser...
CVE-2019-9946,7.5,HIGH,CWE-670,2025-05-29T03:07:15.750495,50.07,Analyzer_2,deepseek-r1-250120,True,1,5,27,9,containernetworking/plugins,  ``` 1. 信任边界类别分析    主要边界突破：数据面内部 → 网络层规则覆盖（新类别）    次要边界突破：数据面→控制面 - 控制面→网络层配置污染    架构层次影响：数据面网络层→控制面服务抽象层    技术路径：创建hostPort Pod→CNI插件错误插入iptables规则→覆盖KUBE-SERVICES链→劫持NodePort流量    关键节点：portmap插件规则插入位置（链前端）    权限扩展：Pod网络流量拦截权→服务流量控制权→集群网络策略绕过    影响范围：数据面网络层服务发现机制、控制面服务抽象逻辑    防护薄弱点：CNI插件默认配置未遵循K8s服务优先级假设    检测难点：iptables规则差异难以区分正常/恶意配置  2. 信任边界影响评估    架构影响分析：    - 控制面影响：服务抽象层(NodePort)规则失效，破坏API声明的预期网络行为    - 数据面影响：网络层流量路由异常，违反Pod与服务间的网络隔离策略    - 跨平面传播：数据面网络配置错误反向影响控制面服务抽象的有效性    - 节点拓扑影响：Work...
CVE-2020-8567,4.9,MEDIUM,"CWE-24, CWE-22",2025-05-29T03:07:42.248076,26.49,Analyzer_2,deepseek-r1-250120,True,4,9,221,13,"Azure/secrets-store-csi-driver-provider-azure, hashicorp/vault-csi-provider, GoogleCloudPlatform/secrets-store-csi-driver-provider-gcp",  ``` 1. 信任边界类别分析    主要边界突破：数据面(容器)→宿主机 - Pod→Worker节点逃逸    次要边界突破：控制面→数据面 - 控制器→工作负载恶意分发    架构层次影响：控制面API层→数据面存储层→宿主机文件系统    技术路径：创建恶意SecretProviderClass→CSI驱动处理参数→路径遍历写入宿主机文件    关键节点：spec.parameters.filePath参数校验缺失，CSI驱动未实施路径规范化    权限扩展：SecretProviderClass创建权限→宿主机文件系统写权限→跨Pod存储污染    影响范围：跨控制面资源配置层和数据面存储挂载层，影响节点级隔离性    防护薄弱点：CRD操作权限粒度不足，CSI驱动未实现输入安全过滤    检测难点：合法资源创建与恶意路径遍历行为难以区分，跨平面攻击链路隐蔽  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层CRD操作权限控制失效，扩展层配置验证缺失    - 数据面影响：存储层挂载机制被污染，计算层文件隔离性突破    - 跨平面传播：控制面...
CVE-2020-2121,8.8,HIGH,N/A,2025-05-29T03:07:47.773957,44.6,Analyzer_1,deepseek-r1-250120,True,1,1,2,1,jenkinsci/google-kubernetes-engine-plugin,"  ``` 1. 信任边界类别分析    主要边界突破：集群外部→集群内部 - 外部资源→控制面引用注入    次要边界突破：[数据面→控制面 - Pod→API Server权限提升, 控制面→数据面 - 控制器→工作负载恶意分发]    架构层次影响：外部CI/CD系统→控制面API层→数据面计算层    技术路径：构造恶意YAML→Jenkins插件反序列化RCE→滥用Jenkins SA Token→调用Kubernetes API    关键节点：插件YAML解析器类型限制缺失、Jenkins SA Token权限过度    权限扩展：外部攻击者→Jenkins master节点控制权→Kubernetes集群管理权限    影响范围：跨越CI/CD系统与控制平面，影响配置可信性和工作负载安全    防护薄弱点：外部系统与集群的信任链验证缺失、插件供应链安全控制不足    检测难点：合法YAML配置与攻击载荷的语义混淆、跨系统攻击链关联分析困难  2. 信任边界影响评估    架构影响分析：    - 控制面影响：API层凭据泄露风险，控制层配置源可信性被破坏    - 数据..."
